id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,form pressure,108,77,36,70,363,ship,baseline,monotonic-signal,raise-signal
m002,g002,sync drift,115,1,44,54,268,ship,edge,drag-penalty,drop-slack
m003,g003,local state,39,17,14,23,115,watch,recovery,confidence-floor,raise-drag
m004,g004,conflict cost,48,57,32,26,131,watch,negative,lane-boundary,lower-confidence
m005,g005,form pressure,65,45,25,95,260,ship,baseline,monotonic-signal,raise-signal
m006,g006,sync drift,64,30,44,84,174,ship,edge,drag-penalty,drop-slack
m007,g007,local state,115,42,41,40,304,ship,recovery,confidence-floor,raise-drag
m008,g008,conflict cost,100,10,10,53,333,ship,negative,lane-boundary,lower-confidence
m009,g009,form pressure,105,31,41,83,306,ship,baseline,monotonic-signal,raise-signal
m010,g010,sync drift,54,33,16,96,243,ship,edge,drag-penalty,drop-slack
m011,g011,local state,80,53,12,64,321,ship,recovery,confidence-floor,raise-drag
m012,g012,conflict cost,97,60,43,83,305,ship,negative,lane-boundary,lower-confidence
m013,g013,form pressure,74,66,7,30,297,ship,baseline,monotonic-signal,raise-signal
m014,g014,sync drift,96,61,5,45,379,ship,edge,drag-penalty,drop-slack
m015,g015,local state,71,77,34,57,245,ship,recovery,confidence-floor,raise-drag
m016,g016,conflict cost,106,12,18,11,287,ship,negative,lane-boundary,lower-confidence
m017,g017,form pressure,92,17,36,55,240,ship,baseline,monotonic-signal,raise-signal
m018,g018,sync drift,75,46,26,32,225,ship,edge,drag-penalty,drop-slack
m019,g019,local state,75,10,50,25,110,watch,recovery,confidence-floor,raise-drag
m020,g020,conflict cost,34,59,32,56,121,watch,negative,lane-boundary,lower-confidence
m021,g021,form pressure,70,51,28,53,230,ship,baseline,monotonic-signal,raise-signal
m022,g022,sync drift,34,3,28,22,43,hold,edge,drag-penalty,drop-slack
m023,g023,local state,112,68,15,38,397,ship,recovery,confidence-floor,raise-drag
m024,g024,conflict cost,67,63,21,81,282,ship,negative,lane-boundary,lower-confidence
m025,g025,form pressure,101,39,29,83,338,ship,baseline,monotonic-signal,raise-signal
m026,g026,sync drift,64,42,34,39,171,ship,edge,drag-penalty,drop-slack
m027,g027,local state,53,63,24,65,215,ship,recovery,confidence-floor,raise-drag
m028,g028,conflict cost,51,70,10,69,262,ship,negative,lane-boundary,lower-confidence
m029,g029,form pressure,63,76,29,95,273,ship,baseline,monotonic-signal,raise-signal
m030,g030,sync drift,103,1,19,63,316,ship,edge,drag-penalty,drop-slack
m031,g031,local state,43,17,44,95,109,watch,recovery,confidence-floor,raise-drag
m032,g032,conflict cost,52,22,26,16,116,watch,negative,lane-boundary,lower-confidence
m033,g033,form pressure,77,62,43,44,208,ship,baseline,monotonic-signal,raise-signal
m034,g034,sync drift,80,39,32,56,239,ship,edge,drag-penalty,drop-slack
m035,g035,local state,89,46,35,23,231,ship,recovery,confidence-floor,raise-drag
m036,g036,conflict cost,97,47,34,41,277,ship,negative,lane-boundary,lower-confidence
m037,g037,form pressure,114,15,32,31,292,ship,baseline,monotonic-signal,raise-signal
m038,g038,sync drift,68,25,12,24,217,ship,edge,drag-penalty,drop-slack
m039,g039,local state,53,49,52,68,120,watch,recovery,confidence-floor,raise-drag
m040,g040,conflict cost,49,58,21,39,181,ship,negative,lane-boundary,lower-confidence
m041,g041,form pressure,104,65,11,21,365,ship,baseline,monotonic-signal,raise-signal
m042,g042,sync drift,33,60,28,37,112,watch,edge,drag-penalty,drop-slack
m043,g043,local state,50,77,24,93,248,ship,recovery,confidence-floor,raise-drag
m044,g044,conflict cost,106,12,13,69,360,ship,negative,lane-boundary,lower-confidence
m045,g045,form pressure,58,17,13,38,190,ship,baseline,monotonic-signal,raise-signal
m046,g046,sync drift,112,11,35,64,306,ship,edge,drag-penalty,drop-slack
m047,g047,local state,59,62,13,81,281,ship,recovery,confidence-floor,raise-drag
m048,g048,conflict cost,36,15,14,81,162,watch,negative,lane-boundary,lower-confidence
m049,g049,form pressure,125,64,19,62,444,ship,baseline,monotonic-signal,raise-signal
m050,g050,sync drift,116,45,44,94,355,ship,edge,drag-penalty,drop-slack
m051,g051,local state,75,19,44,28,140,watch,recovery,confidence-floor,raise-drag
