id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,form pressure,99,77,36,70,336,ship,baseline,monotonic-signal
g002,sync drift,115,12,44,54,279,ship,edge,drag-penalty
g003,local state,39,17,7,23,136,watch,recovery,confidence-floor
g004,conflict cost,48,57,32,39,144,watch,negative,lane-boundary
g005,form pressure,56,45,25,95,233,ship,baseline,monotonic-signal
g006,sync drift,64,41,44,84,185,ship,edge,drag-penalty
g007,local state,115,42,34,40,325,ship,recovery,confidence-floor
g008,conflict cost,100,10,10,66,346,ship,negative,lane-boundary
g009,form pressure,96,31,41,83,279,ship,baseline,monotonic-signal
g010,sync drift,54,44,16,96,254,ship,edge,drag-penalty
g011,local state,80,53,5,64,342,ship,recovery,confidence-floor
g012,conflict cost,97,60,43,96,318,ship,negative,lane-boundary
g013,form pressure,65,66,7,30,270,ship,baseline,monotonic-signal
g014,sync drift,96,72,5,45,390,ship,edge,drag-penalty
g015,local state,71,77,27,57,266,ship,recovery,confidence-floor
g016,conflict cost,106,12,18,24,300,ship,negative,lane-boundary
g017,form pressure,83,17,36,55,213,ship,baseline,monotonic-signal
g018,sync drift,75,57,26,32,236,ship,edge,drag-penalty
g019,local state,75,10,43,25,131,watch,recovery,confidence-floor
g020,conflict cost,34,59,32,69,134,watch,negative,lane-boundary
g021,form pressure,61,51,28,53,203,ship,baseline,monotonic-signal
g022,sync drift,34,14,28,22,54,hold,edge,drag-penalty
g023,local state,112,68,8,38,418,ship,recovery,confidence-floor
g024,conflict cost,67,63,21,94,295,ship,negative,lane-boundary
g025,form pressure,92,39,29,83,311,ship,baseline,monotonic-signal
g026,sync drift,64,53,34,39,182,ship,edge,drag-penalty
g027,local state,53,63,17,65,236,ship,recovery,confidence-floor
g028,conflict cost,51,70,10,82,275,ship,negative,lane-boundary
g029,form pressure,54,76,29,95,246,ship,baseline,monotonic-signal
g030,sync drift,103,12,19,63,327,ship,edge,drag-penalty
g031,local state,43,17,37,95,130,watch,recovery,confidence-floor
g032,conflict cost,52,22,26,29,129,watch,negative,lane-boundary
g033,form pressure,68,62,43,44,181,ship,baseline,monotonic-signal
g034,sync drift,80,50,32,56,250,ship,edge,drag-penalty
g035,local state,89,46,28,23,252,ship,recovery,confidence-floor
g036,conflict cost,97,47,34,54,290,ship,negative,lane-boundary
g037,form pressure,105,15,32,31,265,ship,baseline,monotonic-signal
g038,sync drift,68,36,12,24,228,ship,edge,drag-penalty
g039,local state,53,49,45,68,141,watch,recovery,confidence-floor
g040,conflict cost,49,58,21,52,194,ship,negative,lane-boundary
g041,form pressure,95,65,11,21,338,ship,baseline,monotonic-signal
g042,sync drift,33,71,28,37,123,watch,edge,drag-penalty
g043,local state,50,77,17,93,269,ship,recovery,confidence-floor
g044,conflict cost,106,12,13,82,373,ship,negative,lane-boundary
g045,form pressure,49,17,13,38,163,watch,baseline,monotonic-signal
g046,sync drift,112,22,35,64,317,ship,edge,drag-penalty
g047,local state,59,62,6,81,302,ship,recovery,confidence-floor
g048,conflict cost,36,15,14,94,175,ship,negative,lane-boundary
g049,form pressure,116,64,19,62,417,ship,baseline,monotonic-signal
g050,sync drift,116,56,44,94,366,ship,edge,drag-penalty
g051,local state,75,19,37,28,161,watch,recovery,confidence-floor
g052,conflict cost,102,73,14,43,380,ship,negative,lane-boundary
g053,form pressure,75,68,4,55,336,ship,baseline,monotonic-signal
g054,sync drift,65,44,22,22,195,ship,edge,drag-penalty
g055,local state,108,58,11,53,402,ship,recovery,confidence-floor
g056,conflict cost,45,68,28,30,149,watch,negative,lane-boundary
g057,form pressure,105,75,17,23,362,ship,baseline,monotonic-signal
g058,sync drift,94,11,13,67,321,ship,edge,drag-penalty
g059,local state,92,17,19,51,287,ship,recovery,confidence-floor
g060,conflict cost,95,22,17,20,276,ship,negative,lane-boundary
g061,form pressure,56,27,39,36,114,watch,baseline,monotonic-signal
g062,sync drift,84,67,30,92,321,ship,edge,drag-penalty
g063,local state,93,55,6,81,397,ship,recovery,confidence-floor
g064,conflict cost,109,51,38,37,301,ship,negative,lane-boundary
g065,form pressure,33,52,13,63,175,ship,baseline,monotonic-signal
g066,sync drift,42,20,44,80,94,hold,edge,drag-penalty
g067,local state,50,41,40,93,164,watch,recovery,confidence-floor
g068,conflict cost,58,54,40,61,169,ship,negative,lane-boundary
g069,form pressure,109,63,20,93,423,ship,baseline,monotonic-signal
g070,sync drift,94,70,33,27,280,ship,edge,drag-penalty
g071,local state,90,76,41,42,265,ship,recovery,confidence-floor
g072,conflict cost,48,12,4,54,198,ship,negative,lane-boundary
g073,form pressure,74,17,29,21,173,ship,baseline,monotonic-signal
g074,sync drift,91,22,22,52,281,ship,edge,drag-penalty
g075,local state,59,27,41,29,110,watch,recovery,confidence-floor
g076,conflict cost,90,67,31,22,266,ship,negative,lane-boundary
g077,form pressure,65,20,7,66,260,ship,baseline,monotonic-signal
g078,sync drift,100,69,38,50,305,ship,edge,drag-penalty
g079,local state,77,61,13,105,358,ship,recovery,confidence-floor
g080,conflict cost,69,24,44,35,134,watch,negative,lane-boundary
g081,form pressure,69,8,40,91,186,ship,baseline,monotonic-signal
g082,sync drift,116,73,4,80,489,ship,edge,drag-penalty
g083,local state,55,49,44,36,118,watch,recovery,confidence-floor
g084,conflict cost,116,63,24,62,401,ship,negative,lane-boundary
g085,form pressure,106,73,15,79,425,ship,baseline,monotonic-signal
g086,sync drift,61,10,33,92,186,ship,edge,drag-penalty
g087,local state,86,16,23,60,265,ship,recovery,confidence-floor
g088,conflict cost,58,22,40,92,168,ship,negative,lane-boundary
g089,form pressure,47,27,29,26,107,watch,baseline,monotonic-signal
g090,sync drift,45,32,25,41,133,watch,edge,drag-penalty
g091,local state,48,72,25,53,194,ship,recovery,confidence-floor
g092,conflict cost,97,60,5,20,356,ship,negative,lane-boundary
g093,form pressure,37,56,18,51,164,watch,baseline,monotonic-signal
g094,sync drift,46,57,26,28,145,watch,edge,drag-penalty
g095,local state,62,25,31,21,139,watch,recovery,confidence-floor
g096,conflict cost,74,46,14,65,291,ship,negative,lane-boundary
